# HubCapsule local base dictionary (UTF-8)
# format: source<TAB>target
你好	hello
您好	hello
谢谢	thank you
请	please
再见	goodbye
早上好	good morning
晚上好	good evening
文件	file
文件夹	folder
目录	directory
路径	path
复制	copy
粘贴	paste
剪切	cut
删除	delete
保存	save
打开	open
关闭	close
设置	settings
搜索	search
替换	replace
翻译	translate
注释	comment
代码	code
编译	compile
构建	build
发布	release
调试	debug
错误	error
警告	warning
成功	success
失败	failed
完成	done
处理中	processing
网络	network
离线	offline
在线	online
连接	connect
断开	disconnect
请求	request
响应	response
超时	timeout
重试	retry
取消	cancel
确认	confirm
应用	apply
刷新	refresh
初始化	initialize
加载	load
导入	import
导出	export
词典	dictionary
词库	lexicon
本地	local
远程	remote
缓存	cache
索引	index
分片	shard
内存	memory
数据库	database
表	table
字段	field
记录	record
查询	query
主键	primary key
唯一	unique
排序	sort
过滤	filter
去重	deduplicate
命中	hit
命中率	hit rate
阈值	threshold
链路	pipeline
托底	fallback
引擎	engine
方案	solution
选项	option
文本	text
段落	paragraph
行	line
字符	character
字词	word
中英互译	zh-en translation
英中互译	en-zh translation
中文	chinese
英文	english
方向	direction
预览	preview
草稿	draft
草稿区	draft area
预览区	preview area
高级处理	advanced actions
作用域	scope
全文	full text
选区	selection
可用按钮	available buttons
按钮	button
点击	click
拖拽	drag
上传	upload
下载	download
图片	image
音频	audio
视频	video
链接	link
网址	url
接口	api
端点	endpoint
令牌	token
密钥	key
密文	secret
区域	region
代理	proxy
桥接	bridge
序列	sequence
队列	queue
回调	callback
消息	message
事件	event
监听	listen
发送	send
接收	receive
宿主	host
页面	page
窗口	window
面板	panel
工具栏	toolbar
快捷键	hotkey
触发	trigger
动作	action
状态	status
原因	reason
提示	hint
建议	suggestion
默认	default
自定义	custom
学习	learn
仅本地	local only
仅网络	network only
本地优先	local first
严格顺序	strict order
质量	quality
性能	performance
稳定	stability
准确率	accuracy
词形还原	lemmatization
分词	tokenization
术语	term
同义词	synonym
近义词	similar word
反义词	antonym
动词	verb
名词	noun
形容词	adjective
副词	adverb
介词	preposition
代词	pronoun
句子	sentence
短语	phrase
语义	semantics
上下文	context
模型	model
服务	service
配置	config
版本	version
更新	update
升级	upgrade
回退	rollback
恢复	restore
清空	clear
新增	add
移除	remove
插入	insert
批量	batch
同步	sync
异步	async
并发	concurrent
线程	thread
进程	process
日志	log
诊断	diagnosis
测试	test
验证	verify
检查	check
修复	fix
兼容	compatible
安全	security
权限	permission
限制	limit
规则	rule
模板	template
标签	tag
分类	category
编号	id
时间戳	timestamp
日期	date
时间	time
用户	user
系统	system
应用程序	application
浏览器	browser
工作区	workspace
项目	project
仓库	repository
分支	branch
提交	commit
拉取	pull
推送	push
合并	merge
冲突	conflict
备注	note
说明	description
文档	document
教程	tutorial
示例	example
please	请
thank you	谢谢
hello	你好
goodbye	再见
file	文件
folder	文件夹
path	路径
copy	复制
paste	粘贴
delete	删除
save	保存
open	打开
close	关闭
settings	设置
search	搜索
translate	翻译
comment	注释
code	代码
build	构建
debug	调试
error	错误
warning	警告
success	成功
failed	失败
done	完成
processing	处理中
network	网络
offline	离线
online	在线
request	请求
response	响应
timeout	超时
retry	重试
cancel	取消
confirm	确认
load	加载
import	导入
export	导出
dictionary	词典
local	本地
remote	远程
cache	缓存
index	索引
shard	分片
memory	内存
database	数据库
query	查询
hit	命中
threshold	阈值
fallback	托底
engine	引擎
option	选项
text	文本
paragraph	段落
line	行
word	字词
button	按钮
preview	预览
draft	草稿
scope	作用域
selection	选区
pipeline	链路
